ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name
000001,20250912,11.83,11.88,11.7,11.72,11.85,-0.13,-1.1,940385.1,1107449.06,平安银行
000002,20250912,6.83,7.14,6.83,6.94,6.83,0.11,1.61,3220891.59,2235885.45,万  科Ａ
000004,20250912,10.8,10.89,10.38,10.47,10.76,-0.29,-2.7,64657.0,68438.39,*ST国华
000006,20250912,7.57,7.7,7.5,7.65,7.58,0.07,0.92,421506.71,320216.14,深振业Ａ
000007,20250912,7.63,7.76,7.56,7.57,7.63,-0.06,-0.79,50944.0,38912.5,全新好
000008,20250912,2.84,2.89,2.83,2.87,2.84,0.03,1.06,631936.73,180749.75,神州高铁
000009,20250912,10.97,11.55,10.54,11.38,10.97,0.41,3.74,1347089.25,1490404.17,中国宝安
000010,20250912,4.62,4.92,4.59,4.76,4.62,0.14,3.03,615417.04,292978.48,美丽生态
000011,20250912,9.14,9.31,9.11,9.23,9.17,0.06,0.65,103519.26,95622.68,深物业A
000012,20250912,4.77,4.81,4.75,4.78,4.77,0.01,0.21,188944.98,90291.6,南  玻Ａ
000014,20250912,15.15,15.64,15.07,15.49,15.18,0.31,2.04,149887.81,230874.11,沙河股份
000016,20250912,5.51,5.72,5.5,5.53,5.4,0.13,2.41,1019124.53,570257.55,深康佳Ａ
000017,20250912,7.11,7.33,7.04,7.2,7.13,0.07,0.98,510904.31,368407.86,深中华A
000019,20250912,6.94,6.95,6.9,6.91,6.94,-0.03,-0.43,51369.7,35549.37,深粮控股
000020,20250912,13.91,13.94,13.75,13.83,13.9,-0.07,-0.5,19709.0,27317.6,深华发Ａ
000021,20250912,20.61,22.67,20.53,21.8,20.77,1.03,4.96,1411511.63,3051629.07,深科技
000025,20250912,18.62,18.83,18.48,18.51,18.61,-0.1,-0.54,147808.03,275701.62,特  力Ａ
000026,20250912,17.1,17.13,16.81,17.08,17.03,0.05,0.29,76207.82,129426.65,飞亚达
000027,20250912,6.59,6.6,6.54,6.55,6.59,-0.04,-0.61,186337.28,122372.08,深圳能源
000028,20250912,25.78,25.87,25.71,25.76,25.79,-0.03,-0.12,31573.48,81417.81,国药一致
000029,20250912,28.3,28.87,27.85,28.12,27.95,0.17,0.61,59050.17,167208.07,深深房Ａ
000030,20250912,5.66,5.67,5.54,5.55,5.66,-0.11,-1.94,161618.03,90590.15,富奥股份
000031,20250912,3.33,3.43,3.31,3.41,3.33,0.08,2.4,329416.9,111440.39,大悦城
000032,20250912,23.68,24.49,23.38,23.39,23.27,0.12,0.52,424263.44,1011033.54,深桑达Ａ
000034,20250912,44.33,45.45,43.86,43.88,44.76,-0.88,-1.97,535952.4,2387763.01,神州数码
000035,20250912,5.18,5.18,4.94,4.94,5.21,-0.27,-5.18,1201424.17,600372.23,中国天楹
000036,20250912,4.21,4.41,4.18,4.35,4.21,0.14,3.33,384331.97,165562.32,华联控股
000037,20250912,8.86,8.91,8.82,8.85,8.85,0.0,0.0,52796.0,46844.24,深南电A
000039,20250912,7.94,8.17,7.9,8.04,7.94,0.1,1.26,606956.08,488839.58,中集集团
000042,20250912,8.56,8.9,8.54,8.71,8.6,0.11,1.28,97256.96,84365.76,中洲控股
000045,20250912,11.4,11.41,11.27,11.32,11.4,-0.08,-0.7,88529.0,100451.22,深纺织Ａ
000048,20250912,16.56,17.72,16.55,17.19,16.52,0.67,4.06,376142.22,646086.74,京基智农
000049,20250912,25.83,26.26,25.45,25.88,25.68,0.2,0.78,170122.95,439488.43,德赛电池
000050,20250912,9.74,9.83,9.65,9.75,9.77,-0.02,-0.2,234960.31,228631.37,深天马Ａ
000055,20250912,4.42,4.44,4.38,4.4,4.42,-0.02,-0.45,117897.54,51924.94,方大集团
000056,20250912,2.88,2.99,2.88,2.9,2.91,-0.01,-0.34,1180991.02,345951.65,皇庭国际
000058,20250912,9.45,9.54,9.4,9.45,9.47,-0.02,-0.21,94009.57,89018.8,深 赛 格
000059,20250912,5.33,5.38,5.27,5.31,5.33,-0.02,-0.38,202750.53,107791.49,华锦股份
000060,20250912,5.35,5.6,5.33,5.53,5.33,0.2,3.75,1665661.26,914889.71,中金岭南
000061,20250912,9.49,9.65,9.16,9.26,9.22,0.04,0.43,514882.04,482362.94,农 产 品
000062,20250912,31.21,31.88,30.84,31.25,31.21,0.04,0.13,421557.53,1320649.39,深圳华强
000063,20250912,43.03,45.26,43.03,44.08,43.74,0.34,0.78,2214126.21,9822820.09,中兴通讯
000065,20250912,11.2,11.24,11.14,11.19,11.2,-0.01,-0.09,122405.56,136937.63,北方国际
